index,NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,cluster,cluster1
10,1011,Paleo Eba Swallow with Palm Kernel Soup and Fish,35.0,680,10.0,6.0,2.0,48.0,2.3,93.0,385.0,10.39,115.0,457.0,320.0,266.0,1.79,0.0,0.0,0.0,23.0,0.57,0.64,7.69,0.0,0.76,154.0,0.0,0.0,0.0,0.0,1.0,962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,3.8,154.0,0.0,1.2,4.8,3.0,0.0,52.0,"1 Container,  (1 NLEA serving)",0.0,0,0.0,2,0
11,1012, Paleo Eba Swallow with Spinach Stew and Chicken,28.0,610,11.0,7.0,2.0,53.0,2.5,102.0,105.0,5.3,76.0,226.0,695.0,166.0,1.39,0.0,0.0,0.0,0.0,0.18,0.09,0.89,0.0,0.1,92.0,0.0,92.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,1.0,0.0,51.0,"1 Cup,  (1 NLEA serving)",0.0,0,0.0,2,0
12,1013,Paleo Eba Swallow with Okra Soup and Snail,33.0,590,11.0,2.0,2.0,52.0,2.2,52.0,22.0,28.1,84.0,193.0,289.0,344.0,5.0,0.0,0.0,0.0,47.0,1.16,1.33,15.6,0.0,1.55,625.0,0.0,0.0,0.0,0.0,5.0,1667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,133.0,0.0,0.6,1.6,1.7,0.0,32.0,"1 Cup,  (1 NLEA serving)",0.0,0,0.0,2,0
13,1014,Paleo Eba Swallow with Ogbono Soup and Fish,21.0,650,13.0,2.0,2.0,62.0,3.1,47.0,105.0,25.7,74.0,196.0,312.0,545.0,4.0,0.0,0.0,0.0,75.0,1.87,2.13,25.0,0.0,2.5,500.0,0.0,0.0,0.0,0.0,7.0,2679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,215.0,0.0,1.39,2.09,1.29,0.0,28.0,".67 Cup,  (1 NLEA serving)",0.0,0,0.0,2,0
14,1015,Paleo Eba Swallow with Egusi Soup and Goat Meat,30.0,670,7.0,5.0,2.0,56.0,2.6,81.0,32.0,29.5,86.0,364.0,433.0,3.0,2.7,0.0,0.0,0.0,0.0,0.68,0.76,9.1,0.0,0.91,364.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.89,0.0,55.0,"24 Biscuits,  (1 NLEA serving)",0.0,0,0.0,2,0
15,1016,Paleo Eba Swallow with Vegetable Stew and Fish,36.0,630,9.0,4.0,2.0,50.0,3.2,78.0,36.0,3.26,73.0,273.0,336.0,14.0,2.77,0.0,0.0,0.0,0.0,0.21,0.11,5.44,0.0,0.28,30.0,0.0,30.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,1.5,0.0,0.0,1.12,0.0,55.0,"1 cup,  (1 NLEA serving)",0.0,0,0.0,2,0
16,1017,Paleo Eba Swallow with Bitterleaf Soup and Beef,31.0,660,15.0,5.0,2.0,47.0,8.1,111.0,163.0,18.39,109.0,248.0,212.0,376.0,1.39,0.0,0.0,0.0,37.0,1.07,0.68,14.3,0.0,1.42,408.0,0.0,0.0,0.0,0.0,4.3,1531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,82.0,0.0,0.8,0.69,0.8,0.0,49.0,"1 Cup,  (1 NLEA serving)",0.0,0,0.0,2,0
17,1018,Paleo Eba Swallow with Ogbono Soup and Snail,44.0,650,10.0,4.0,2.0,40.0,4.5,65.0,205.0,26.1,57.0,287.0,186.0,611.0,1.79,0.0,0.0,0.0,68.0,1.69,1.91,22.6,0.0,2.25,452.0,0.0,0.0,0.0,0.0,6.8,2419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,134.0,0.0,0.8,0.8,0.89,0.0,31.0,".75 Cup,  (1 NLEA serving)",0.0,0,0.0,2,0
18,1019,Paleo Eba Swallow with Palm Nut Soup and Chicken,39.0,680,11.0,5.0,2.0,44.0,4.9,71.0,39.0,7.59,106.0,259.0,350.0,361.0,2.5,0.0,0.0,0.0,0.0,0.63,0.72,8.5,0.0,0.85,169.0,0.0,0.0,0.0,0.0,2.5,2119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,68.0,0.0,0.3,0.2,0.8,0.0,59.0,"1.25 Cups,  (1 NLEA serving)",0.0,0,0.0,2,0
19,1020,Paleo Eba Swallow with Yam Leaf Soup and Goat Meat,37.0,670,8.0,4.0,2.0,49.0,4.0,66.0,12.0,0.2,18.0,11.0,146.0,7.0,0.1,0.086,0.0,0.6,1677.6,0.02,0.06,0.4,0.309,0.009,14.0,0.0,14.0,14.0,0.0,0.0,767.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.082,0.09,0.0,98.0,1 cup,4.8,"1 fruit, without refuse",20.0,2,0
20,1021,Paleo Eba Swallow with Palm Nut Soup and Fish,31.0,690,9.0,5.0,2.0,53.0,4.3,72.0,10.0,0.5,12.0,9.0,97.0,3.0,0.1,0.086,0.0,0.1,1600.0,0.02,0.06,0.4,0.205,0.004,14.0,0.0,14.0,14.0,0.0,0.0,509.0,25.0,0.0,0.0,305.0,0.0,0.0,17.0,0.18,0.0,0.0,1.4,0.068,0.082,0.09,0.0,242.0,1 cup,30.2,1 fl oz,0.0,2,0
21,1022,Paleo Eba Swallow with Afang Soup and Chicken,3.0,670,9.0,10.0,3.0,76.0,5.8,50.0,6.0,0.12,5.0,11.0,107.0,1.0,0.04,0.027,0.035,0.0,4.6,0.017,0.026,0.091,0.061,0.041,3.0,0.0,3.0,3.0,3.4,0.0,54.0,3.0,0.0,0.0,27.0,11.0,0.0,29.0,0.18,0.0,0.0,2.2,0.028,0.007,0.051,0.0,125.0,"1 cup, quartered or chopped",109.0,"1 cup, slices",10.0,2,0
22,1023,Paleo Eba Swallow with Ewedu Soup and Goat Meat,3.0,660,13.0,5.0,1.0,78.0,14.5,7.0,5.0,0.07,4.0,11.0,90.0,0.0,0.05,0.031,0.038,0.0,4.0,0.019,0.028,0.091,0.071,0.037,0.0,0.0,0.0,0.0,3.4,0.0,38.0,2.0,0.0,0.0,17.0,13.0,0.0,18.0,0.05,0.0,0.0,0.6,0.021,0.005,0.037,0.0,110.0,"1 cup, slices",216.0,"1 large,  (3-1/4"" dia)",23.0,2,0
23,1024,Paleo Eba Swallow with Okra Soup and Beef,1.0,640,7.0,44.0,3.0,45.0,8.1,4.0,5.0,0.19,3.0,8.0,88.0,1.0,0.04,0.035,0.118,0.3,0.2,0.016,0.012,0.095,0.046,0.044,1.0,0.0,1.0,1.0,3.4,0.0,44.0,2.0,0.0,0.0,19.0,14.0,0.0,19.0,0.05,0.0,0.0,0.6,0.058,0.014,0.104,0.0,171.0,"1 cup, slices",0.0,0,0.0,2,0
24,1025,Paleo Eba Swallow with Spinach Soup and Fish,5.0,620,10.0,3.0,2.0,80.0,2.9,9.0,5.0,0.17,3.0,8.0,93.0,1.0,0.04,0.046,0.142,0.3,0.3,0.017,0.011,0.061,0.046,0.046,1.0,0.0,1.0,1.0,3.4,0.0,40.0,2.0,0.0,0.0,17.0,13.0,0.0,21.0,0.05,0.0,0.0,0.7,0.068,0.017,0.122,0.0,170.0,"1 cup, slices",0.0,0,0.0,2,0
25,1026,Paleo Eba Swallow with Eggplant Stew and Chicken,3.0,640,6.0,8.0,2.0,81.0,3.8,66.0,4.0,0.23,2.0,5.0,68.0,3.0,0.03,0.053,0.153,0.3,0.4,0.009,0.01,0.073,0.031,0.044,0.0,0.0,0.0,0.0,3.2,0.0,51.0,3.0,0.0,0.0,22.0,17.0,0.0,18.0,0.21,0.0,0.0,0.6,0.08,0.02,0.144,0.0,204.0,"1 cup, slices",0.0,0,0.0,2,0
26,1027,Paleo Eba Swallow with Tomato Stew and Fish,3.0,680,4.0,13.0,2.0,79.0,5.2,43.0,4.0,0.24,3.0,6.0,70.0,3.0,0.05,0.051,0.165,0.3,0.2,0.009,0.01,0.081,0.032,0.044,0.0,0.0,0.0,0.0,3.2,0.0,56.0,3.0,0.0,0.0,24.0,18.0,0.0,18.0,0.21,0.0,0.0,0.6,0.07,0.017,0.126,0.0,204.0,"1 cup, slices",0.0,0,0.0,2,0
27,1028,Paleo Eba Swallow with Ugu and Goat Meat,3.0,670,9.0,33.0,3.0,52.0,9.9,113.0,19.0,2.0,22.0,55.0,640.0,124.0,0.29,0.271,0.128,1.8,2.2,0.046,0.13,0.68,0.432,0.28,1.0,0.0,1.0,1.0,23.1,0.0,81.0,4.0,0.0,0.0,35.0,27.0,0.0,25.0,0.75,0.0,0.0,4.3,0.095,0.024,0.171,0.0,60.0,1 cup,0.0,0,0.0,2,0
28,1029,Paleo Eba Swallow with Moringa Soup and Fish,2.0,630,61.0,31.0,5.0,0.0,0.0,30.0,4.0,0.43,5.0,12.0,136.0,26.0,0.06,0.058,0.027,0.4,0.6,0.008,0.029,0.14,0.08,0.054,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.005,0.036,0.0,193.0,1 cup,0.0,0,0.0,0,0
29,1030,Paleo Eba Swallow with Yam Leaves Soup and Chicken,2.0,650,7.0,31.0,4.0,56.0,3.8,32.0,14.0,1.4,16.0,38.0,450.0,87.0,0.2,0.191,0.09,1.3,3.9,0.0,0.159,0.927,0.245,0.125,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.53,0.0,0.0,3.0,0.052,0.013,0.093,0.0,86.0,1 cup,6.4,1 ring,0.0,2,0
30,1031,Paleo Eba Swallow with Groundnut Soup and Chicken,2.0,660,8.0,34.0,5.0,52.0,5.2,72.0,3.0,0.33,4.0,9.0,105.0,20.0,0.05,0.044,0.021,0.3,1.0,0.006,0.019,0.129,0.057,0.05,0.0,0.0,0.0,0.0,3.8,0.0,17.0,1.0,0.0,0.0,7.0,6.0,0.0,4.0,0.12,0.0,0.0,0.7,0.012,0.003,0.022,0.0,255.0,1 cup,0.0,0,0.0,2,0
31,1032,Paleo Eba Swallow with Oha Soup and Fish,2.0,670,5.0,26.0,2.0,65.0,3.2,29.0,3.0,0.31,3.0,8.0,98.0,19.0,0.04,0.042,0.02,0.0,0.9,0.006,0.018,0.121,0.054,0.047,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.003,0.02,0.0,280.0,1 cup,0.0,0,0.0,2,0
32,1033,Paleo Eba Swallow with Plantain and Vegetable Soup,2.0,640,7.0,37.0,3.0,51.0,1.2,64.0,4.0,0.18,3.0,8.0,77.0,3.0,0.05,0.058,0.169,0.2,0.1,0.013,0.011,0.042,0.054,0.034,1.0,0.0,1.0,1.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.013,0.095,0.0,173.0,"1 cup, slices",0.0,0,0.0,2,0
33,1034,Paleo Eba Swallow with Afang Soup and Beef,17.0,680,0.0,0.0,0.0,82.0,0.2,6.0,5.0,0.19,3.0,8.0,76.0,3.0,0.05,0.065,0.146,0.2,0.4,0.014,0.011,0.043,0.057,0.032,1.0,0.0,1.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.013,0.095,0.0,206.0,"1 cup, slices",0.0,0,0.0,2,0
34,1035,Paleo Eba Swallow with Mushroom Stew and Chicken,30.0,650,0.0,0.0,0.0,69.0,1.1,20.0,8.0,0.12,5.0,7.0,101.0,4.0,0.02,0.012,0.074,0.1,0.9,0.021,0.017,0.073,0.049,0.018,0.0,0.0,0.0,0.0,1.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.01,0.0,0.0,0.0,0.022,0.006,0.039,0.0,248.0,1 cup,31.0,1 fl oz,0.0,2,0
35,1036,Paleo Eba Swallow with Uziza Soup and Snail,1.0,670,0.0,0.0,0.0,98.0,0.0,83.0,20.0,0.91,17.0,25.0,448.0,25.0,0.13,0.05,0.225,0.4,2.1,0.011,0.054,0.135,0.223,0.116,1.0,0.0,1.0,1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.04,0.0,0.0,0.0,0.06,0.015,0.108,0.0,211.0,"1 can,  (6 fl oz)",0.0,0,0.0,2,0
36,1037,Paleo Eba Swallow with Bitterleaf Soup and Smoked Fish,0.0,660,0.0,0.0,0.0,100.0,0.0,1.0,6.0,0.26,5.0,7.0,126.0,7.0,0.04,0.014,0.063,0.1,0.6,0.003,0.015,0.038,0.063,0.033,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.01,0.0,0.0,0.0,0.018,0.002,0.031,0.0,239.0,1 cup,29.9,1 fl oz,0.0,2,0
37,1038,Paleo Eba Swallow with Curry Leaf Stew and Grilled Tilapia,0.0,680,0.0,0.0,0.0,100.0,0.0,1.0,4.0,0.23,3.0,5.0,74.0,2.0,0.03,0.027,0.025,0.3,1.0,0.026,0.03,0.084,0.041,0.027,3.0,0.0,3.0,3.0,2.2,0.0,29.0,1.0,0.0,0.0,13.0,9.0,0.0,18.0,0.16,0.0,0.0,0.5,0.008,0.002,0.014,0.0,244.0,1 cup,0.0,0,0.0,2,0
38,1039,Paleo Eba Swallow with Efo Shoko and Turkey,5.0,690,8.0,2.0,2.0,83.0,1.9,19.0,3.0,0.12,3.0,6.0,75.0,2.0,0.03,0.032,0.03,0.3,1.7,0.017,0.022,0.072,0.044,0.027,1.0,0.0,1.0,1.0,3.3,0.0,6.0,0.0,0.0,0.0,3.0,2.0,0.0,18.0,0.18,0.0,0.0,0.6,0.03,0.007,0.054,0.0,246.0,1 cup,0.0,0,0.0,2,0
39,1040,Paleo Eba Swallow with Okazi Soup and Grilled Goat,2.0,700,9.0,27.0,5.0,58.0,5.2,72.0,13.0,0.39,10.0,23.0,259.0,1.0,0.2,0.078,0.077,0.1,10.0,0.03,0.04,0.6,0.24,0.054,9.0,0.0,9.0,9.0,2.8,0.0,1926.0,96.0,0.0,19.0,1094.0,104.0,0.0,89.0,0.89,0.0,0.0,3.3,0.027,0.17,0.077,0.0,155.0,"1 cup,  halves",165.0,"1 cup, sliced",7.0,2,0
40,1041,Paleo Eba Swallow with Waterleaf Soup and Smoked Chicken,1.0,660,7.0,21.0,4.0,67.0,5.9,21.0,8.0,0.32,7.0,13.0,192.0,3.0,0.11,0.082,0.053,0.1,3.4,0.021,0.023,0.395,0.092,0.054,2.0,0.0,2.0,2.0,1.8,0.0,1959.0,98.0,0.0,0.0,1170.0,11.0,0.0,26.0,0.6,0.0,0.0,2.2,0.011,0.069,0.031,0.0,243.0,"1 cup,  halves",36.0,"1 apricot, half with liquid",0.0,2,0
41,1042,Paleo Eba Swallow with Fluted Pumpkin (Ugu) Soup and Periwinkles,2.0,670,8.0,1.0,5.0,65.0,6.8,35.0,8.0,0.54,9.0,16.0,154.0,11.0,0.11,0.068,0.053,0.0,1.8,0.02,0.024,0.437,0.092,0.054,2.0,0.0,2.0,2.0,0.0,0.0,1810.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.013,0.006,0.0,227.0,"1 cup, whole, without pits",0.0,0,6.0,2,0
42,1043,Paleo Eba Swallow with Garden Egg Leaf Soup and Catfish,6.0,675,2.0,1.0,1.0,90.0,2.5,18.0,12.0,0.3,10.0,20.0,165.0,4.0,0.11,0.054,0.052,0.1,4.9,0.018,0.019,0.344,0.092,0.054,2.0,0.0,2.0,2.0,1.8,0.0,1691.0,85.0,0.0,0.0,1010.0,10.0,0.0,26.0,0.6,0.0,0.0,2.2,0.003,0.017,0.007,0.0,244.0,"1 cup,  halves",36.0,"1 apricot, half with liquid",0.0,2,0
43,1044,Paleo Eba Swallow with Nsala Soup and Turkey Gizzard,2.0,700,10.0,1.0,4.0,84.0,7.5,35.0,10.0,0.3,6.0,12.0,140.0,2.0,0.08,0.04,0.052,0.0,4.0,0.02,0.02,0.6,0.092,0.054,2.0,0.0,2.0,2.0,0.0,0.0,1271.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.043,0.02,0.0,247.0,"1 cup,  halves",0.0,0,0.0,2,0
44,1045,Paleo Eba Swallow with Ewedu Soup and Goat Meat,68.0,690,3.0,0.0,0.0,28.0,0.4,10.0,11.0,0.39,8.0,13.0,138.0,4.0,0.11,0.079,0.052,0.1,2.7,0.016,0.02,0.304,0.092,0.054,2.0,0.0,2.0,2.0,1.8,0.0,1322.0,66.0,0.0,0.0,789.0,7.0,0.0,26.0,0.6,0.0,0.0,2.2,0.003,0.021,0.01,0.0,253.0,"1 cup,  halves",40.0,"1 apricot, half with liquid",0.0,1,0
45,1046,Paleo Eba Swallow with Ofe Nsala and Fresh Fish,12.0,710,10.0,1.0,0.0,76.0,2.7,252.0,9.0,0.3,7.0,12.0,140.0,4.0,0.11,0.078,0.051,0.1,3.1,0.02,0.022,0.376,0.092,0.054,2.0,0.0,2.0,2.0,1.8,0.0,1230.0,62.0,0.0,0.0,735.0,7.0,0.0,26.0,0.6,0.0,0.0,2.2,0.005,0.033,0.015,0.0,258.0,"1 cup,  halves",240.0,"1 cup, whole",0.0,2,0
46,1047,Paleo Eba Swallow with Spinach Stew and Beef,9.0,680,14.0,4.0,1.0,71.0,3.3,35.0,9.0,0.43,8.0,13.0,134.0,11.0,0.1,0.065,0.051,0.0,2.8,0.019,0.023,0.416,0.092,0.054,2.0,0.0,2.0,2.0,0.0,0.0,1240.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.037,0.017,0.0,258.0,"1 cup, whole, without pits",0.0,0,6.0,2,0
47,1048,Paleo Eba Swallow with Okra Soup and Prawns,68.0,650,5.0,2.0,1.0,25.0,1.2,12.0,8.0,0.62,8.0,15.0,126.0,13.0,0.1,0.064,0.05,0.0,2.4,0.016,0.022,0.34,0.092,0.054,2.0,0.0,2.0,2.0,0.0,0.0,1471.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.017,0.008,0.0,246.0,"1 cup, whole, without pits",0.0,0,6.0,1,0
48,1049,Paleo Eba Swallow with Amala (Plantain Flour) Soup and Shrimps,10.0,675,13.0,2.0,1.0,75.0,3.2,21.0,61.0,6.31,63.0,157.0,1850.0,13.0,1.0,0.576,0.369,0.0,9.5,0.043,0.148,3.58,1.067,0.52,4.0,0.0,4.0,4.0,0.0,0.0,12669.0,633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.268,0.121,0.0,119.0,1 cup,0.0,0,0.0,2,2
49,1050,Paleo Eba Swallow with Okra and Egusi Soup with Smoked Catfish,62.0,700,6.0,1.0,0.0,31.0,1.8,7.0,24.0,2.48,25.0,62.0,728.0,5.0,0.39,0.227,0.145,0.0,7.1,0.013,0.067,1.63,0.468,0.161,2.0,0.0,2.0,2.0,0.0,0.0,4407.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.105,0.047,0.0,249.0,1 cup,0.0,0,0.0,2,2
50,1051,Paleo Eba Swallow with Palm Nut Soup and Beef Stew,11.0,710,7.0,2.0,1.0,79.0,3.9,3.0,55.0,2.66,32.0,71.0,1162.0,10.0,0.39,0.343,0.235,2.2,1.0,0.015,0.074,2.589,0.516,0.143,10.0,0.0,10.0,10.0,13.9,0.0,3604.0,180.0,0.0,0.0,2163.0,0.0,0.0,0.0,4.33,0.0,0.0,3.1,0.017,0.074,0.074,0.0,130.0,"1 cup,  halves",3.5,1 half,0.0,2,2
51,1052,Paleo Eba Swallow with Ogbono Soup and Lamb Chops,12.0,725,7.0,1.0,1.0,80.0,1.3,28.0,19.0,0.94,11.0,25.0,411.0,4.0,0.14,0.121,0.083,0.8,0.3,0.005,0.026,0.915,0.211,0.051,3.0,0.0,3.0,3.0,4.9,0.0,1275.0,64.0,0.0,0.0,765.0,0.0,0.0,0.0,1.53,0.0,0.0,1.1,0.006,0.026,0.026,0.0,250.0,"1 cup,  halves",0.0,0,0.0,2,0
